,datePublished,review_title,text_content,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
873,16th February 2023,a worst experience with check-in,Trip Verified ,"  I had connecting flight with Air India from Delhi to Kathmandu. I had a worst experience with check-in officers, they didn’t give us boarding pass showing unnecessary reasons about baggage that we had checked in at Chicago airport. They were asking for extra Money (15$ Usd) for luggage which we checked in for baby. They also asked for our vaccination card which they didn’t even see, they were just trying to check if we have that or not. They were not checking vaccination cards for other passengers though. I was with baby travelled for 16 hours, I was unable to feed my baby in transit.",NA,Family Leisure,Economy Class,Delhi to Nepal,Feb-23,3,3,3,1,1,1,1,no
874,15th February 2023,Never travel with this airline,Trip Verified ,"  I traveled with my 2 kids. The older one is 3-years old and younger one is 1 year old. We have requested a basinet seat and they told us that you should request it at the check-in counter so they can give it to you. When we went to the airport for check-in, we came to know that our flight was 4 hours late and they said basinet seat is not available. Everything was okay for us other than not informing us for flight was late. When we asked them about our next flight connection, they had no answer about it. When we reached Delhi, we came to know that our next flight was the next morning. As I had 2 kids with me i asked them to provide accommodation but they refused to provide any accommodation. It was a horrible experience for us that they are not happy to understand the situation of their customer.  Customer service desk people are hopeless, they are not happy to listen anything as it is our problem that our air India flight was late. Never travel with this airline. They are hopeless.",NA,Family Leisure,Economy Class,Sydney to Ahmedabad via Delhi,Feb-23,2,2,NA,1,1,NA,1,no
875,14th February 2023,delayed for 12 hrs,Not Verified ,  Air India flight is delayed for 12 hrs. No one was responding about the expected time. They simply showing please wait. And the staff was very arrogant and not even responding for customer queries about the delay. Most of the people checked in to airport @ around 6AM and waited till evening 8PM. Flight started after 8PM. Worst behavior from the staff and no one available for most of the time at the air India service help desk for proper information about expected time,NA,Solo Leisure,Economy Class,London Heathrow to Hyderabad,Feb-23,2,3,3,2,1,3,2,no
876,10th February 2023,Very disappointed with the service,Trip Verified ,  Very disappointed with the service. Every time I have travelled with this airline it has never been on time. Always delayed. Ground staff not very helpful.,NA,Couple Leisure,Economy Class,Mumbai to Kochi,Feb-23,3,4,NA,1,2,1,2,no
877,10th February 2023,Disgusting airline,Trip Verified ,"  Denied boarding AI0489 Delhi to Surat Air India removed us from our flight and gave our seats to other people without our consent, the next flight is 24 hours later.  I could have made it on an Indigo flight but they refused to book for me. A pathetic staff was so rude to us yelling at us and said we have to take it or leave it. This airline needs to be held responsible for how unprofessional they are. We were with at least 7 others who were also flying from Srinagar and going to Surat. They were all allowed to get on the flight. We were physically held back. When i asked why they admitted they gave our seats away. Perhaps you can do that if there's a flight in the next few hours maybe. But to assume that we can wait 24 hours for the next flight is completely unacceptable. Did they think we were going to be happy they put us in a hotel that's like a jail cell with no windows. A dump. Disgusting airline and pathetic after service. No responsibility. No accountability. No explanations given.",AI0489,Couple Leisure,Economy Class,Srinagar to Surat via Delhi,Jan-23,1,1,1,1,1,1,1,no
878,9th February 2023,its prices are reasonable,Trip Verified ,"  I chose to fly Air India because of its Star Alliance affiliation and the fact that its prices are reasonable. In general, I was quite pleased with the flight. The business class section on Air India's international flights is getting a bit long in the tooth. The colors of beige and light red make it appear somewhat tatty. I believe it is overdue for an upgrade. The seats are comfortable but do not recline to a flat bed, they just reach an angle that is not all that comfortable for sleeping. I kept sliding downwards and had to constantly adjust my feet.  There is a wide selection of food choices and I enjoyed my choice. The service is good with lots of attention throughout the flight. The entertainment services pale in comparison to other international airlines. Only a few movies are offered. I would not hesitate to fly Air India again.",NA,Business,Business Class,Delhi to Bangkok,Feb-23,4,5,4,1,4,NA,5,yes
879,27th January 2023,wouldn't recommend to anybody,Trip Verified ,"  Terrible experience, incompetent and rude personal, outdated systems, old planes with half of TV on long flights not working. There is no choice at meals you get what you get. Pricier than middle east airlines and yet offer far less service. Just wouldn't recommend to anybody, never flying with them for sure.",NA,Couple Leisure,Economy Class,Pune to Frankfurt via Delhi,Jan-23,2,1,1,1,1,1,1,no
880,26th January 2023,food was very bad and substandard,Trip Verified ,"  The food served was very bad and substandard, and needs improvement. The ground staff was okay but needs improvement. The airline staff was supportive.",NA,Solo Leisure,Economy Class,Kochi to London,Jan-23,3,3,2,2,3,1,3,no
881,24th January 2023,poor services and management,Trip Verified , This is my first flight with Air India and it was very poor services. 1) I order veg food and someone came and said we are short with veg so we can give chicken only 2) It’s a long journey and my screen is not working for the whole flight 3) I press attendant button as I need water but no one came for approx 30 minutes then I went to get some water. 4) The hand rest is also broken it’s totally uncomfortable fight and experience for me. I won’t prefer to travel with Air India in future due to the poor services and management.,NA,Solo Leisure,Economy Class,Birmingham to Delhi,Jan-23,1,1,1,1,1,1,1,no
882,21st January 2023,comfortable seats,Trip Verified ,"  A domestic flight which uses  Boeing 777-300ER . Boarding was smooth, separate for business and economy class. Seats were in 3x3x3 configuration, comfortable seats, good food, courteous cabin crew. IFE wasn’t working, they should look into it. And ticket price was at par any other flight operating same day.",Boeing 777-300,Solo Leisure,Economy Class,Hyderabad to Delhi,Jan-23,4,4,4,1,4,NA,4,yes
883,20th January 2023,will not fly this airline,Trip Verified ,  We are fly to Delhi with family. When we reached airport on time they tell that the flight is late 15 hours. They say come back 12.00 night. Technically our flight morning 10 am. They check in our luggage. After they did not have any voucher where you stay. They did not give any food voucher. We pay our food. Pay for hotel to stay. They did not say apologies or compensation. We call customer service few times and they say we can not do anything. In the future we will not fly this airline.,NA,Family Leisure,Economy Class,Vancouver to Delhi,Dec-22,2,NA,NA,NA,1,NA,1,no
884,20th January 2023,bad quality of food,Trip Verified ,  I have not used Air India for last 30 years due to bad experience that time. This Flight was ok and on time. But Plane condition was very poor but I am writing about bad quality of food offered. Food was just not for human consumption.,NA,Family Leisure,Business Class,Delhi to Dubai,Jan-23,2,3,1,NA,4,NA,2,no
885,19th January 2023,A319 and leg room was better,Trip Verified ,"  Flight experience was not so good due to delays, due to heavy fog. It was A319 and leg room was better than other airlines with same aircraft. It was just an hour flight so no proper breakfast provided, only a sandwich with water, cabin crew were courteous.",A319,Solo Leisure,Economy Class,Bangalore to Hyderabad,Jan-23,4,4,3,NA,3,NA,4,yes
886,19th January 2023,big difference in quality of service,Trip Verified ,"  You charge the same amount for business class flight for AI 380,/381 and AI383. However there is a big difference in the quality of service. On AI383 the seats barely incline, no entertainment system and horrible stale food. While AI381 is a very pleasant experience. Really don't understand. Wide body and narrow body aircraft is not an excuse. Please fix.",A320,Solo Leisure,Business Class,Singapore to Delhi,Jan-23,1,2,1,NA,3,NA,1,no
887,17th January 2023,screens were not working,Trip Verified ,  I travelled with my spouse on 9 January 2023 with my spouse in a 14 hr flight. At first they used are cabin baggage area for first aid that is ok. Secondly 1/4 of their screens were not working. Their food was equally bad.,NA,Couple Leisure,Economy Class,Toronto to Delhi,Jan-23,1,3,1,1,1,1,1,no
888,17th January 2023,Seats were poorly maintained,Trip Verified ,  I travelled to India this month. Seats were poorly maintained in both sectors to and from AI 144 - from EWR to BOM ( Seat No 37 C) AI 191 - from BOM to EWR ( Seat No 39D) Seats : Broken / no USB connectors / no flight entertainment overall very bad experience. Food : For the money paid and for preselected option at the time of booking you are given what is available on flight. Pre selection of menu is just a namesake activity on the website.,NA,Solo Leisure,Economy Class,Newark to Chenna via Mumbai,Jan-23,1,3,1,1,4,1,1,no
889,14th January 2023,worst experience of my life,Not Verified ,"  Travelling by Air India has been the worst experience of my life, utterly disgusting. Change of date of flying on short notice and worst the message wasn't updated and showed the original date of flying, change of route, instead of my non stop flight, the airline changed with stop over. Delay of take off for more than 5 hrs and not even a single refreshment or water served while waiting more than 1 hr seated in aircraft. No updates of time of take off.",NA,Family Leisure,Economy Class,Delhi to Port Blair,Jan-23,1,1,1,1,1,1,2,no
890,13th January 2023,Customer service is very rude,Trip Verified ,  Never take this cheep flight from SFO. This flight is always delayed and you will miss the transit and end up staying longer. I stayed 2 hours inside seated. Customer service is very rude. They will not work with you to change the transit flight.,NA,Solo Leisure,Economy Class,San Francisco to Mumbai,Jan-23,1,1,1,1,1,1,1,no
891,12th January 2023,hygiene on these flights is horrendous,Not Verified ,"  I recently decided to travel with Air India to India and I must say I am severely disappointed and definitely will NOT be booking again with Air India. I flew on the 23rd of Nov 2022 from Heathrow to Delhi and then Delhi to Ahmedabad. My flight to Heathrow to Delhi was disappointing. I paid extra to sit at the front of the plane by the window only to find out that the entertainment system was not working. I told the flight attendant twice. She then said she will reset the system. Although that didn’t work so I told her again and she said there is a spare seat at the back of the plane where I can sit.  How can I get up and leave my seat when I’m blocked in by a sleeping elderly couple.  Why did I pay extra money for a specific seat when air India can’t even check that they flights are adequately maintained. Secondly, hygiene on these flights is horrendous I opened the pocket up to place a bottle of water there and there was still used tissues! There were sticky stains on the side which I wiped off with a baby wipe. I would like to think that airlines would be more regimented in ensuring there planes are cleaned to a certain standard especially after the pandemic we have been through. Funnily enough whilst waiting for my bags to be collected a gentlemen who also flew from London but first class on the first flight was equally as appalled with hygiene and service and stated that he may as well have sat in economy. Now I have just returned from India to Heathrow with my mother again via Air India and what a disappointment again. Flew on 13/11 from Ahmedabad. Our whole row had no entertainment system working despairing multiple reboots. No alternative seating was offered so being stuck on a plane staring at a welcome screen for 9.45 hours . I think you can now understand when I say although my fare covers my travel there is also a level of customer service expected which is just dire. The planes are outdated and customers are just expected to deal with things that are not there fault. Now for the next piece of resistancé. My younger sister is due to fly tomorrow I also funnily enough booked her flight over 2 months ago with Air India. We were completing her online check in only to find out that she had been changed onto to a different flight. Original travel was LHR TO BOM AND THEN BOM TO INDORE with a 4 hour lay over. We had the option to pay a cheaper price but with a 17 hour layover. But opted to pay extra to avoid waiting. So anyways we are checking her in online and her flights completely changed from a 4 hour layover to 11 hours. No emails received about this change. We received multiple about her return being changed. I call up the customer service desk and speak to a guy call Soham. Who was so confusing. I would like to suggest providing more training on effective communication and level of English to your call centre staff. Soham informed me that the original flight had been cancelled. WHY WAS THIS NOT MADE CLEAR IN WRITING. after a good 25 minutes Soham clarified that only option is LHR TO DEL and wait for 11 hours and then DEL to INDORE.  Why is it not being made clear to your customers about upcoming flight changes. If my sister wanted to wait 11 hours at an airport she would have paid less money. This specific fare was paid so that we can avoid waiting. In conclusion I’m sure you can understand my level of frustration of several occasions.",NA,Solo Leisure,Premium Economy,London Heathrow to Ahmedabad,Dec-22,2,1,NA,1,1,NA,1,no
892,11th January 2023,Excellent experience on board,Trip Verified ,  Excellent experience on board. Aircraft seating was very comfortable and staff was friendly and efficient. Special mention of Ms. Sohoni and Ms. Mishra.,Boeing 777-200,Couple Leisure,Business Class,SanFransico to Mumbai,Jan-23,5,5,5,4,3,NA,5,yes
893,10th January 2023,2 day delay in our travel plan,Trip Verified ,"  Was supposed to fly Air India from Mumbai to Melbourne via Delhi with a 2 hour layover yesterday morning. Flight from Mumbai to Delhi was first delayed 3 hours after take off time causing several passengers to miss the connection. Then we were made to leave the gates, collect our baggage and sit around at the airport until they figured out what they wanted to do, giving us no information and no compensation. Finally, about 6-7 hours of no communication later we were told that our flight would leave the next day, and we would have to find our own accommodation in Mumbai. Not only were they completely unapologetic about the situation resulting in a 2 day delay in our travel plan and a crazy 15 hour layover in Delhi, they expected us to find a place to stay overnight on our own and told us they would put us in business class for the trip but put us in economy and asked us to leave. Tried calling the call centre to clear it up and they hung up on me mid sentence, tried to speak to someone online but the bloody website doesn't work. This has essentially ruined what was a pretty good trip up to this point. Never again.",NA,Solo Leisure,Business Class,Mumbai to Melbourne via Delhi,Jan-23,1,1,NA,NA,1,NA,1,no
894,8th January 2023,Air India is disgusting,Trip Verified ,  Air India is disgusting. They removed us from the flight and gave our seats to other people without our consent. They then think they are doing us a favour by booking us in a hotel and on the next flight which is a whole 24 hours later. The hotel is a dump. It's disgusting just like Air India service as a whole. I had a doctors appointment and operation booked and because of them I am stuck in Delhi. I could have made it on the Indigo flight but they refused to book for me. The staff was so rude to us saying take it or leave it. This airline needs to be held responsible for how unprofessional they are.,NA,Couple Leisure,Economy Class,Delhi to Surat,Jan-23,NA,NA,NA,NA,1,NA,1,no
895,8th January 2023,does not reflect well on the new owners,Trip Verified ," This early morning flight was taken at a reasonable rate and as it was almost full economy, I had submitted my baggage and rushed to the gate to get my flight as most airports in India and indeed the world have huge lines of people nowadays. The crew were welcoming and the flight got delayed due to the traffic conditions in Mumbai. One point to note here is that Air India does not provide full meal services on flights that are less than 2 hours. So what we had on this segment was just a vegetarian sandwich which was fine. However the real issue started when it was observed that my baggage was not present upon arrival. After inquiring about the same I was informed that the baggage would be coming as part of the evening flight but there as another morning flight which was present so was not sure why the baggage was unable to get delivered there on that flight. The staff there helped me to file a property irregularity report which helped me locate the bag and also get it delivered to my address in 24 hours without any damage. The last 2 times I traveled on Air India they were not positive experiences. The first one was when I had got a boarding pass for a flight I was unable to travel on as it was overbooked and this time the issue with the baggage. There was another passenger who was in the same situation regarding the lost baggage. This does not reflect well on the new owners. Hope that they can sort these things out on the ground because on the flight the crew were great and we all know about the plans to refurbish the cabins. But these sorts of incidents they really need to get a grip on because this could have the potential to put off passengers. I have already had 2 negative experiences travelling on the airline within the space of 2 months.",A320 neo,Solo Leisure,Economy Class,Mumbai to Bengaluru,Jan-23,4,4,4,NA,3,NA,4,no
896,8th January 2023,check in was chaotic and unorganised,Trip Verified ," This is our national carrier and unfortunately one of the worst and most unprofessional airlines. You’d never come across a staff smiling (ground or air), the crew are aging and consider themselves irreplaceable being in the Govt owned airline. Even now, when it has been taken over, check in was chaotic and unorganised, seats were wobbly, seat covers were like you’d avoid even touching, infotainment screen was broken, schedule was not followed. Sadly, I will pay 50% extra to a different airline but never fly on Air India unless there are no other options available. Pathetic service and they do not deserve any sympathy.",NA,Solo Leisure,Economy Class,Dubai to Kolkata via New Delhi,Jun-22,1,1,1,1,1,NA,1,no
897,6th January 2023,,Trip Verified ,  Excellent food on the Hyderabad to London leg but food on the return leg was just ordinary. Excellent cabin crew. Special mention needs to be made of Ms Padma who was so caring and helpful on both legs of the journey. The entertainment system was not working on either legs. Punctuality was excellent. Toilets were well maintained and the pilots were superb. It was a smooth take off and landing on both legs. I could sleep on both legs comfortably.,Boeing 787-8,Business,Economy Class,London to Hyderabad,Dec-22,3,4,4,1,5,NA,4,yes
898,3rd January 2023,dirty seats and covers,Trip Verified ,"  Food quality poor. Tv screen not working. When requested to the Purser for looking into this, it was a very casual answer. They rebooted but never worked. The answer was cannot do anything. But is it not airline responsibility to ensure all facilities are working. Airplane old, with dirty seats and covers.",Boeing 787,Family Leisure,Economy Class,Delhi to Dubai,Jan-23,3,3,2,1,3,NA,4,no
899,2nd January 2023,Most disgusting service,Trip Verified ,  My bag did not come off the plane. There was no reason given. There has been no updates. There has been no feedback. I am on Day 2 without a bag in a foreign country. They haven't provided any compensation for me not having my medication or clothing. They had time for me to sign an indemnity but they couldn't care less what is happening to me without my bags. Most disgusting service and worst airline ever.,NA,Couple Leisure,Economy Class,Goa to Mumbai,Jan-23,1,1,1,NA,1,NA,1,no
900,22nd May 2023,irresponsible airline,Not Verified ," The worst and irresponsible airline I have ever seen or had. My friend and I had a ticket of Air India from Vancouver to Delhi on May 21st. The flight had delay for 14 hours and finally they canceled that. They don't care about people, infants and elderly people at all. A very irresponsible and unorganized airline. I don't suggest this airline to anyone.",Air India,Business,Economy Class,Vancouver to Delhi,May-23,1,1,1,1,1,1,1,no
901,22nd May 2023,Pathetic experience,Trip Verified ," Pathetic experience as the seats were not clean, no screens were working in the row E, the food was not tasty, half of the cuisine was made with corns only. Only crew at the back rows were very polite and decent, two female and one male member very nice. Very uncomfortable seats. The experience at the ground level was also pathetic as the ground staff was asking unnecessary questions which were not relevant at all. When one person has a visa of the country he or she is travelling to then even they were asking irrelevant questions as in where is the invitation letter, how many days is the stay for thought already shown the return ticket. Invitation letter is to be asked by the immigration dept not with the airline travelling with. Then after check in and immigration when finally entering in the aircraft again the person is asking where is the invite - what makes sense out of it, don't understand. It is just to unnecessarily harassing the passengers. I think we all are educated and we know the rules and regulations to be followed while travelling then why unnecessary harassment. Air India needs to improve a lot on their quality.",NA,Solo Leisure,Economy Class,New Delhi to Toronto via Frankfurt,May-23,1,3,2,1,1,1,1,no
902,22nd May 2023,Seats are not at all hygienic,Trip Verified ,  I am really disappointed with international travel with Air India from London Heathrow to Delhi. there is no any improvement in flight comfort. Every time their video display are not working and very rarely its starts all of sudden and again stop working in between. No provision of headphones. Seats are not at all hygienic and not kept clean. Restrooms cleanliness not maintained its too unhygienic.,NA,Solo Leisure,Economy Class,London to Delhi,Apr-23,1,4,4,1,3,1,1,no
903,22nd May 2023,No Inflight Entertainment,Not Verified ,"  No Inflight Entertainment. When I asked the staff regarding this they clearly said that the airline knew about this and they have taken the aircraft from the Hangar and deployed it. The journey was 12 hours and with no in flight entertainment, it was a nightmare. The return journey from Delhi to Melbourne was the same if not worse. No7 Inflight entertainment again, No reclining seats. With my ticket purchase I paid to have the In flight entertainment as a part of what this airline advertised. This is False advertising",NA,Couple Leisure,Economy Class,Melbourne to Mumbai,May-23,1,3,3,1,3,1,1,no
904,8th May 2023,disappointed that I never got to fly,Trip Verified ,  Boarding was on time took my seat and relaxed with a glass of champagne. Announcement was made we have a tech issue and power was turned off. After approx 20min had to deboard then after 5hrs waiting in the gate lounge they announced that the flight was cancelled. Another hour waiting I was finally rebooked onto Emirates and sent to a hotel for a few hours (all played for by IA). So disappointed that I never got to fly.,Boeing 787-8,Solo Leisure,Business Class,Singapore to Dubai via Delhi,May-23,4,5,1,NA,5,NA,5,yes
905,7th May 2023,the flight was so horrible,Trip Verified ,"  Delhi to San Francisco and the flight was so horrible. First time I was traveling by Air India and I will not recommend anyone to travel by Air India. The seat is so tight space (not comfortable), the entertainment system was broke down in the entire flight (almost 17hrs non stop journey). I ordered Muslim food when I booked the ticket but on the plane during my journey I was not given the Muslim/halal food. The food I was given was not eatable.  I will never travel by Air India and not recommend anyone to travel also by AI.",Boeing 777,Solo Leisure,Economy Class,Delhi to San Francisco,May-23,1,1,1,1,1,1,1,no
906,5th May 2023,Such a bad experience,My flight was scheduled rom Amritsar to Delhi and from Delhi to New York. The flight was delayed to the point that  every passenger missed their connecting flights. On top of this i had another flight from New York to Vancouver the next day which I missed and had a book a new flight for 400$. I talked to the airline staff and they said that the flight to Vancouver is not with their airline so they couldn't provide me any compensation. They didn't even care to look for any other flights from Amritsar to Delhi to help the passengers catch their connecting flights. Such a bad experience that I'll never travel with this airline in future no matter what. e.,,NA,Solo Leisure,Economy Class,Amritsar to New York via Delhi,May-23,1,1,1,1,1,1,1,no
907,4th May 2023,Absolutely primitive aircraft,Trip Verified ,"  Absolutely primitive aircraft, None of the on-Board Audio systems work. You've to look at the sky or blank screen to spend time. Crew and their services were good, helpful. However, they can't fix everything on broken Aircrafts. Ticket prices are not any way cheaper than competitors flying to Kolkata. Except the Middle Seats in the Economy sections, one has to pay to get windows or aisle seats. It's not cheap, costs CAD 61.90. The aircraft quality must improve.",Boeing 777-300,Solo Leisure,Economy Class,Toronto to Delhi,May-23,1,4,4,1,4,1,2,no
908,4th May 2023,food was top class,Trip Verified ,"  First time I am flying Air India after take over by Tata. There was a noticeable change in counter service at both Chennai and Bengaluru. Cabin crew in the flight were warm and food was top class. Area where attention is required is toilet upkeep during the flight, and the seat comfort",NA,Solo Leisure,Economy Class,Chennai to San Fransisco via Bengaluru,May-23,5,5,5,4,5,NA,5,yes
909,3rd May 2023,better than the last time I flew,Trip Verified ,"  The service on this flight was better than the last time I flew. Usually the staff are really rude, but on this flight it was alright especially Mohammed in the cabin was good. This time the tv was working unlike most of the times it's not working. For a 9hr flight it's really boring",NA,Family Leisure,Economy Class,London to Mumbai,Apr-23,5,4,2,4,4,1,4,yes
910,3rd May 2023,the service was very poor,Trip Verified ,  I flew to Delhi and back and the service was very poor. I have flown other airlines and they were so much more nicer. Return trip was a nightmare and was more than an hour late and the seats and toilets not cleaned. No hot towels were given either. The female attendant was more keen on jumping around and not serving!,NA,Family Leisure,Business Class,Colombo to New Delhi,Apr-23,2,2,2,NA,4,NA,3,no
911,3rd May 2023,Staff new and not efficient,Not Verified ,  Bad food (especially London to Delhi sector). Entertainment not working on one side of the plane London to Delhi. Staff new and not efficient - taking too much time to serve even though flight running half capacity.,NA,Solo Leisure,Economy Class,Delhi to London,May-23,3,2,1,NA,3,NA,2,no
912,3rd May 2023,never travel again with Air India,Trip Verified ,"  I had very pathetic & unpleasant experience flying with Air India. In flight experience was really bad. Aircraft was really old. Seats were unserviceable, handle & foot rest were broken and adjusted with Tapes. Seat covers were torn. Food Quality was really really bad. Flight entertainment system was also not working. I will never travel again with Air India and will not recommend to anyone to waste money.",NA,Solo Leisure,Economy Class,Delhi to JFK New York,May-23,1,1,1,1,1,1,1,no
913,2nd May 2023,comment is mainly for safety concern,Trip Verified ,"  My comment is mainly for safety concern. I was allotted seat at emergency exit row, along with me in same row one was senior citizen and one was obese. I have request that emergency exit seats to be allocated to passengers which can actually help in evacuation in case of emergency. Please look into the issue for future flights considering safety of passengers",A319,Solo Leisure,Economy Class,Mumbai to Nagpur,May-23,2,3,1,NA,2,NA,2,yes
914,2nd May 2023,it was shocking,Trip Verified ," Absolutely disappointed to fly with Air India. From the first step in, it was shocking. The odour in the aircraft, no in-flight entertainment on a 13 hours flight, no proper information provided by the crew due to lack of knowledge, the condition of the physical aircraft interior, cleanliness, everything was poor.",NA,Solo Leisure,Economy Class,Toronto to Mumbai via Delhi,May-23,3,3,3,1,4,NA,2,no
915,28th April 2023,Would never fly again,Trip Verified ,"  Would never fly again. Didn't have a working screen for the whole flight and wasn't the only one on board who didn't, 2 of the 3 screens in the row were broken. When I pressed the buzzer for assistance it went unanswered for 40 minutes and eventually had to get someone, despite crew resetting the screens they remained broken and they didn't offer any further assistance. My seat also didn't recline which was very uncomfortable for sleeping. The flights were not cheap. I contacted them about my complaints and received no answer so they clearly don't care about customer service. The food was good and the only positive thing I can say.",NA,Couple Leisure,Economy Class,London to Sydney via Delhi,Jul-22,1,1,3,1,1,1,1,no
916,27th April 2023,not friendly to customers,Trip Verified ,"  I travelled on AI171 from Ahmedabad to London Gatwick on 20 th April and during beverages I asked cabin crew for two cans of beer, so was served. Later I asked for more Beer and cabin crew lady said you can have later. I waited two hours and I called and asked and she said I can't have beer. She was not friendly to customers.  Also TV screen was not working.",NA,Family Leisure,Economy Class,Ahmedabad to London Gatwick,Apr-23,4,1,1,1,5,NA,3,no
917,23rd April 2023,very bad experience in plane,Not Verified ,  ,NA,Solo Leisure,Economy Class,Delhi to Chennai,Apr-23,2,1,1,2,1,2,2,no
918,23rd April 2023,food was improved,Not Verified ,"  Have not travelled with this airline since 2016 but this time the crew and food was improved. We had 3 flights with them Cochin to Mumbai, Mumbai to Aurangabad return to Mumbai.",A319,Couple Leisure,Business Class,Mumbai to Aurangabad,Mar-23,4,4,4,NA,4,NA,4,yes
919,19th April 2023,an excellent flight,Trip Verified ,"  I have read mixed reviews of this flight. But it was an excellent flight with top notch service.  It was a proper three course meal. The food was 5 star level. I cannot say about Veg food, because I eat non veg and they gave us food three times. With regards to drinks, it was pretty decent with good brands. The TV was working properly, but I usually see the maps and do some work or read books. Towards the end of flight, the supervisor came and asked each passenger about their experience. On my return flight, it was the same experience, but some TV's were not working, but since the flight was empty, they adjusted the passengers in different seats if needed.  The team of Monica and Hiren were good. The flight from NYC to Mumbai had better food then from Mumbai to NYC. Both the flights were on time.  I understand that because of 2-3-2 seating, there was privacy issue.",Boeing 777,Solo Leisure,Business Class,Mumbai to New York,Mar-23,5,5,5,3,5,NA,5,yes
920,16th April 2023,nervous about our journey back home,Trip Verified ,"  For our 3 seats the entertainment units were not working, for my seat the headset was not working and I was told to just read the subtitles by the team member and that this would definitely keep me entertained! My friend in the next seat’s remote was not working and she was told to entertain herself through the 12 hour flight. The entertainment units not working on a day flight was frustrating, however the team members words were infuriating for us. The bathrooms were a mess throughout the journey and the crew were not keen to tidy them up. service was slow but professional. Admittedly nervous about our journey back home next week.",NA,Couple Leisure,Economy Class,Melbourne to New Delhi,Apr-23,4,2,4,1,4,NA,3,no
921,14th April 2023,Terrible customer service,Trip Verified ,"  Terrible customer service. Will choose to never fly with them again. The aircraft entry staff is predatory, will make demands on charging for carry on and laptop bag even when items bought are only from duty free and within reasonable amounts of weight. The flights are always overbooked and staff at the doors are unhelpful if any queries are raised.",NA,Solo Leisure,Economy Class,Delhi to Kathmandu,Apr-23,2,1,NA,NA,1,1,2,no
922,14th April 2023,entertainment non existent,Not Verified ,"  Check in was smooth, website works, staff at counters were ok including those in Seoul. Food average. Domestic connections were ok and food served was hot.  Inflight announcements - poor audio quality, grammar and mistakes in announcement including time, does not look professional. Cabin heads were both male and generally invisible. Safety only on screen, only one out of pop down screens worked. In one case my inflatable was on the ground. Onboard entertainment non existent both my flights neither mine or my wife's worked, touch screen non responsive most inflight maps did not work. Headphones are not provided, both times i requested for same in one case the attendant apologized and said he did not have them. They said things will get fixed after refurbishment said will take two years. Food was bad and Rice was undercooked. No hot towels wet wipes or even chocolate we got a packet of rice crackers. Staff - good to average. Tokyo flight unresponsive and rude , opposite on my Seoul flight. Interiors worn out in both flights, lumbar support lacking and worn out seats thin reminded me of cheap domestic flights.",NA,Couple Leisure,Economy Class,Hyderabad to Tokyo,Apr-23,2,3,3,1,4,1,3,no
923,12th April 2023,Will not fly Air India again,Not Verified ," Flew business class in Feb to New Delhi and back in March from Delhi to Vancouver. Aircraft is old and the seats didn't work. All broken. No TV's and the food was bad, expected a better service when flying business class. Can't imagine what economy would be. Bathroom were dirty, no soap or napkins. It seems like they don't really care knowing that People like to fly direct and they are the only option. Will not fly Air India again. Overhead bins were opening during turbulence. Felt very unsafe. On another note, staff did try their best and were very polite.",Boeing 777-300ER,Couple Leisure,Business Class,Delhi to Vancouver,Mar-23,1,3,1,1,3,1,1,no
924,11th April 2023,Air India are idling,Trip Verified ," Air India still use a 3x3x3 seating plan on this aircraft in economy which allows for fairly spacious seating. Overall the aircraft (VT-ANG) was worn and in need of maintenance to the interiors. Only certain screens were operational on the IFE and even these were prone to locking up. The flight map was not available at all ! Aircraft cleaning could do with a lot of improvement. Check-in and boarding were good and the flight left over half an hour late but arrived ahead of schedule. Food served was average to poor - looks like some cutbacks have been made in this area. We had a connecting flight from Delhi and it is really annoying having to collect checked bags, walk through to a domestic check-in to deposit bags and then go airside again - nothing to do with the airline but Indian bureaucracy at it's best. Overall, the flight was OK but Air India are idling until the Tata investment can take off and revamp the product to a more modern standard.",Boeing 787-8,Couple Leisure,Economy Class,London to Delhi,Mar-23,4,3,2,1,4,NA,2,yes
925,7th April 2023,Never flying Air India again,Trip Verified ,  Probably the worst airline. I flew from the Milan airport to New Delhi. The aircraft was extremely dirty with a foul smell from the toilets. We noticed that the toilet doors were broken and the door panel stuck which looks like temporary tapes. Twice the door was opened when someone was inside because of the door. Our seats were broken as the recliner didn’t work. In addition the touchscreen and controls of our inflight screen didn’t work. We spent 8 hours staring at air India logo on the screen. The croissant served for breakfast had gone off and very chewy so not edible. On a positive note the cabin crew were polite and professional. Never flying Air India again.,Boeing 787,Family Leisure,Economy Class,Milan to New Delhi,Apr-23,1,4,1,1,3,NA,1,no
926,6th April 2023,unfair and bad service,Not Verified ," My flight was from Milan to Hyderabad and it was horrible with the baggage policy. I had to collect my baggage in Delhi and again re check-in in Delhi, there was a delay in flight too. I was told I can collect my luggage at Hyderabad but Air India failed to do so. This is unfair and bad service.",NA,Solo Leisure,Economy Class,Milan to Hyderabad via Delhi,Apr-23,3,3,3,3,1,3,3,no
